tweet_id,created_at,text,retweet_count,quote_count,reply_count,favorite_count
1420326265677090819,Wed Jul 28 10:12:24 +0000 2021,"https://t.co/XFb667ByCs
Zambia wins 3 awards at Cannes World Film Festival https://t.co/jAWV9qQcOm",5,0,1,20
1420269622926979072,Wed Jul 28 06:27:20 +0000 2021,"https://t.co/YCTHZ1LlsW
Zambian Hip-Hop History Episode 8 : Chilu Lemba Part 2 https://t.co/ZXJdYXWw3e",0,0,0,4
1420268512967278595,Wed Jul 28 06:22:55 +0000 2021,"https://t.co/fWe00ILV4k
Regional Projects and Programmes https://t.co/bRa6enoPrI",0,0,0,4
1420261855495393281,Wed Jul 28 05:56:28 +0000 2021,"https://t.co/9kSyNKMa12
People who want to see my Government fail are not happy to see the Kwacha Strengthen-Preisd… https://t.co/0L9WhZ1ika",3,8,21,52
1420255973395075078,Wed Jul 28 05:33:05 +0000 2021,"https://t.co/6n5IazGS1m
Kwacha's Strength is backed  by Economic Fundamentals; Government Policy and High Copper Pr… https://t.co/LQ1fZpdIF5",0,1,2,6
1420253620688277504,Wed Jul 28 05:23:44 +0000 2021,"https://t.co/zZezpri9kn
Seed Co to make it compulsory for all their staff to get vaccinated  from next month https://t.co/YFl8DdRmZj",0,1,0,4
1420253424084455428,Wed Jul 28 05:22:57 +0000 2021,"https://t.co/MfC3VEJijH
Zambia to receive 151,200 doses of the Johnson and Johnsons today https://t.co/4zAFCgkx8r",3,1,0,8
1420251366233186308,Wed Jul 28 05:14:47 +0000 2021,"https://t.co/g1Bkwma5VH
ERB concludes investigating petroleum tanker fire incident https://t.co/j2pnZTHnCI",0,0,0,3
1420250731123257349,Wed Jul 28 05:12:15 +0000 2021,"https://t.co/Q1HV1SJzM2
Chief Chitambo of the Lala speaking people dies from COVID-19 complications https://t.co/jn1MhtcaJ6",1,0,2,4
1420249846196449282,Wed Jul 28 05:08:44 +0000 2021,"https://t.co/LPeYwEbrPf
Northern province is now ranked 4th  on the list of provinces with high maize productivity https://t.co/IAJ1tXbvcL",0,0,0,3
1420247420475265032,Wed Jul 28 04:59:06 +0000 2021,"https://t.co/IY6NufcLSd
Konkola Copper Mines starts oxygen distribution to Government Hospitals https://t.co/5MZT6a8Wdw",3,0,1,18
1420096020143345671,Tue Jul 27 18:57:29 +0000 2021,"https://t.co/pnNaCyUmBR
PF continues to question the silence by the Commonwealth over what it describes as violence… https://t.co/0DRAz0UkQG",1,0,9,7
1420061684992028676,Tue Jul 27 16:41:03 +0000 2021,"https://t.co/2G6dyaXjpl
Beston Chambeshi Back In The Chipolopolo  Seat",0,0,0,1
1420050930767171592,Tue Jul 27 15:58:19 +0000 2021,"https://t.co/l4PG7m5RRU
Ten-Man Shepolopolo Suffer Olympic Heartbreak",0,1,1,0
1420050063901052931,Tue Jul 27 15:54:53 +0000 2021,"https://t.co/tf5B0Vs8Rs
Political Parties Must State Their Positions On Street Kids! https://t.co/H2qVXwvpsp",5,1,8,32
1419997993256824833,Tue Jul 27 12:27:58 +0000 2021,"https://t.co/8LlbycfzDk
Kwacha appreciation elates PMRC https://t.co/0axhtSTmTE",0,0,4,8
1419997298944356354,Tue Jul 27 12:25:12 +0000 2021,"https://t.co/4XwfgQjWS2
First batch of 95 pallets for 40 constituencies containing ballot paper have arrived https://t.co/qhiZqeghqH",0,0,0,4
1419988372349726721,Tue Jul 27 11:49:44 +0000 2021,"https://t.co/muTvrZ7wqY
I didn't want to Divide PF Votes and see Heartless individuals Win and Govern Zambia-Kambwi… https://t.co/SuM37xC1QQ",0,1,0,2
1419969244167643144,Tue Jul 27 10:33:44 +0000 2021,"https://t.co/2ACId8224u
Banda scheduled to run another  400 kilometers for violence free campaigns https://t.co/IoxIyJGCo0",0,0,0,4
1419966911073357824,Tue Jul 27 10:24:27 +0000 2021,"https://t.co/02zYHCXse9
Teachers Commend Government Over Debt Swap Initiative https://t.co/tRUH9PAmIv",0,0,0,4
1419966148309917707,Tue Jul 27 10:21:26 +0000 2021,"https://t.co/x1m66et7CY
Muchinga chiefs resolve to support President Lungu, PF https://t.co/ljUEF607oo",0,0,0,2
1419895387217932288,Tue Jul 27 05:40:15 +0000 2021,"https://t.co/53HhJNi21Z
Opposition Leader expresses concern of the sudden strengthening of the Kwacha and its volat… https://t.co/mgmKAorXT9",1,0,0,3
1419893314204143618,Tue Jul 27 05:32:01 +0000 2021,"https://t.co/UH7EwsXvSx
UPND Candidate urges Chilanga women to vigorously campaign for HH https://t.co/jMhpLDS2z1",2,0,1,16
1419891979463364608,Tue Jul 27 05:26:42 +0000 2021,"https://t.co/CpmjrApE1M
PF will ensure Zambians benefit more from the natural resources -Nkandu Luo https://t.co/liA7MnupNn",0,2,9,3
1419889713771655176,Tue Jul 27 05:17:42 +0000 2021,"https://t.co/N49709aTVj
PF accuse UPND of abrogating the peace accord which the two parties signed https://t.co/luNpeRKvxV",1,1,4,5
1419851938800324610,Tue Jul 27 02:47:36 +0000 2021,"https://t.co/pNZpd03XXY
National Union of Miners and Allied Workers slams people questioning Zambians' ability to r… https://t.co/8yWv7oHQ3P",1,0,0,3
1419850167193411587,Tue Jul 27 02:40:34 +0000 2021,"https://t.co/kkA47sqOK9
Zambia-China Economic Ties need Recalibration https://t.co/St53djL9ZV",0,0,0,0
1419717757529169921,Mon Jul 26 17:54:25 +0000 2021,"https://t.co/dKd3eP7mlJ
Team Zambia's Olympic Boxing Hopes Stay Alive",0,0,0,1
1419693662959640581,Mon Jul 26 16:18:40 +0000 2021,"https://t.co/RJbGVFzK5P
Kabwe Warriors Hire Chabinga",0,0,0,0
